"IPAddress","DNS","Location"
"63.143.98.183","digijmres-183-98-143-63.digicelbroadband.com","Kingston, Kingston, JM"
"63.143.101.78","digijmres-78-101-143-63.digicelbroadband.com","Kingston, Kingston, JM"
"69.160.105.242","digijmres-242-105-160-69.digicelbroadband.com","Kingston, Kingston, JM"
"173.225.247.213","digijmres-213-247-225-173.digicelbroadband.com","Kingston, Kingston, JM"
"207.204.113.145","DNS not found","Kingston, Kingston, JM"
"69.160.106.62","digijmres-62-106-160-69.digicelbroadband.com","Kingston, Kingston, JM"
"208.131.188.18","DNS not found","Kingston, Kingston, JM"
"72.27.4.3","3-4-27-72-br1-STATIC-dsl.cwjamaica.com","Kingston, Kingston, JM"
"212.12.162.17","DNS not found","Riyadh, Riyadh Region, SA"
"196.206.217.71","adsl196-71-217-206-196.adsl196-7.iam.net.ma","Casablanca, Casablanca-Settat, MA"
"84.254.188.162","84-254-188-162.ip.skylogicnet.com","Rabat, Rabat-Sal?-K?nitra, MA"
"84.254.188.181","84-254-188-181.ip.skylogicnet.com","Rabat, Rabat-Sal?-K?nitra, MA"
"154.120.138.146","ip-154-120-138-146.orange.mg","Antananarivo, Analamanga, MG"
"41.204.109.155","static-109-155.blueline.mg","Antananarivo, Analamanga, MG"
"218.188.194.190","DNS not found","Hong Kong, Hong Kong, HK"
"175.45.29.190","DNS not found","Hong Kong, Hong Kong, HK"
"116.92.232.174","mail.nvit.hk","Hong Kong, Hong Kong, HK"
"202.82.217.41","DNS not found","Hong Kong, Hong Kong, HK"
"218.253.252.102","102.252-253-218-static.reserve.wtt.net.hk","Hong Kong, Hong Kong, HK"
"223.17.196.159","159-196-17-223-on-nets.com","Hong Kong, Hong Kong, HK"
"42.200.103.199","42-200-103-199.static.imsbiz.com","Hong Kong, Hong Kong, HK"
"42.200.135.194","42-200-135-194.static.imsbiz.com","Hong Kong, Hong Kong, HK"
"202.77.29.210","202077029210.static.ctinets.com","Hong Kong, Hong Kong, HK"
